Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635559970.4860804,0,0,4.0,30.6
1635559980.9279299,0,0,4.0,30.4
1635559991.8644142,0,0,4.0,37.4
1635560002.589269,0,0,4.0,33.8
1635560012.8938384,0,0,4.0,27.2
1635560023.873312,0,0,4.0,32.2
1635560034.7523894,0,0,4.0,27.6
1635560044.9286642,0,0,4.0,28.4
1635560055.9297347,0,0,4.0,32.6
1635560066.664486,0,0,4.0,26.4
1635560077.4365828,0,0,4.0,27.6
1635560088.1695387,0,0,4.5,25.8
1635560098.4363859,0,0,4.0,32.0
1635560109.6045372,0,0,4.0,29.0
1635560121.1477692,0,0,4.0,22.4
1635560132.6759617,0,0,4.0,24.6
1635560143.734752,0,0,4.0,29.0
1635560155.0042148,0,0,4.0,28.2
1635560166.4139338,0,0,4.0,25.0
1635560178.0329947,0,0,5.0,30.4
1635560189.461819,0,0,5.0,27.4
1635560200.9445527,0,0,5.0,23.4
1635560212.0417526,0,0,4.0,29.2
1635560223.4814265,0,0,4.0,30.8
1635560234.686498,0,0,3.0,27.0
1635560245.8478115,0,0,3.0,27.2
1635560257.8031628,0,0,3.0,26.6
1635560269.4740746,0,0,4.0,27.8
1635560280.811564,0,0,4.0,28.6
1635560292.4778216,0,0,4.0,27.0
1635560304.2933016,0,0,4.0,34.2
1635560316.0053074,0,0,4.0,30.2
1635560327.7554252,0,0,4.0,28.2
1635560339.403276,0,0,4.0,29.4
1635560351.2954898,0,0,5.0,35.6
1635560363.3564036,0,0,4.0,28.8
1635560375.4920151,0,0,4.0,24.4
1635560386.793913,0,0,4.0,32.2
1635560398.8056245,0,0,4.0,27.2
1635560410.7766368,0,0,4.0,27.6
1635560423.181172,0,0,4.0,25.6
1635560435.2854524,0,0,3.0,27.2
1635560447.1550837,0,0,3.0,30.6
1635560459.4862452,0,0,4.0,30.6
1635560472.2169235,0,0,7.5,27.0
1635560484.3233678,0,0,5.5,24.6
1635560496.7676775,0,0,4.0,29.0
1635560509.090705,0,0,4.0,25.2
1635560521.42479,0,0,4.0,30.2
1635560533.623736,0,0,4.0,32.6
1635560545.873214,0,0,4.0,27.4
1635560558.1582873,0,0,4.0,20.2
1635560570.3382668,0,0,4.0,27.8
1635560583.7714822,0,0,4.0,29.2
1635560596.3575137,0,0,5.0,29.0
1635560608.9401722,0,0,5.0,28.0
1635560621.7931867,0,0,5.0,29.4
1635560633.9128985,0,0,4.0,28.4
1635560646.6519313,0,0,4.0,29.4
1635560659.4674125,0,0,4.0,31.0
1635560672.2201514,0,0,4.0,33.0
1635560684.3420603,0,0,4.0,29.0
1635560697.9249687,0,0,4.0,32.0
