Time,PM_1,PM_2_5,PM_10,Temperature,Humidity,Pressure
1631747160.135229,1,2,3,22.254296875,44.109061085763265,1002.8786342958489
1631747161.2622457,1,2,3,22.254296875,43.9907820283714,1002.868559549177
1631747162.3888934,1,2,3,22.24921875,44.026225628849346,1002.8769531989267
1631747163.5159023,1,2,3,22.244140625,44.01436890933713,1002.9105329554785
1631747164.6428158,1,2,3,22.254296875,44.07943619140007,1002.8920617728555
1631747165.7696388,1,2,3,22.24921875,44.156260705422795,1002.8819868892236
1631747166.8965538,1,2,3,22.244140625,44.00842582889167,1002.8668784406094
1631747168.0247557,1,2,3,22.24921875,44.079371778274584,1002.8564756868005
1631747169.1514907,1,2,3,22.2390625,44.037986820664756,1002.8719094310104
1631747170.2781923,1,2,3,22.22890625,44.132580270848656,1002.8719094310104
1631747171.4059396,1,2,3,22.2390625,44.10896409664353,1002.8484077862933
1631747172.5339715,1,2,3,22.233984375,44.097044388493906,1002.8531183374798
1631747173.6622496,1,2,3,22.233984375,44.09113244831244,1002.8534438518712
1631747174.7890508,1,2,3,22.2390625,44.09116420929303,1002.8719094310104
1631747175.915924,1,2,3,22.22890625,44.12660393552521,1002.8866918431984
1631747177.0427284,1,2,3,22.22890625,44.286187057682625,1002.8631876065468
1631747178.1694374,1,2,3,22.2236328125,44.215281037859164,1002.8934065476788
1631747179.29624,1,3,4,22.2236328125,44.26257454866448,1002.8866888743763
1631747180.4234524,1,3,4,22.2236328125,44.2093361805169,1002.8480768910853
1631747181.550296,1,3,4,22.22890625,44.33358263245081,1002.8668733631383
1631747182.6773217,1,3,4,22.233984375,44.16792156054704,1002.8699022531079
1631747183.8039825,1,3,4,22.2134765625,44.162009878527414,1002.8698962658095
1631747184.9308808,1,3,4,22.2185546875,44.13241904867344,1002.8715717335657
1631747186.0577853,1,3,4,22.2134765625,44.14420871147807,1002.8749321704204
1631747187.184604,1,3,4,22.2134765625,44.10880427874383,1002.8766139064024
1631747188.3135002,1,3,4,22.2185546875,44.24477249333057,1002.8547855237515
1631747189.4414861,1,3,4,22.2033203125,44.156031851488024,1002.8698962658095
1631747190.568355,1,3,4,22.2033203125,44.232847825694165,1002.8581395995769
1631747191.695343,1,3,4,22.1982421875,44.191435088499496,1002.861163658515
1631747192.8220522,1,3,4,22.2033203125,44.00814701156859,1002.851092261648
1631747193.9487677,1,3,4,22.187890625,44.07902220097486,1002.8594814852762
1631747195.0770037,1,3,4,22.187890625,44.132256315078116,1002.886338338605
1631747196.203748,1,3,4,22.1931640625,44.30368059107726,1002.8359782288027
1631747197.3329334,1,3,4,22.1931640625,44.19136910875704,1002.8661993578867
1631747198.4599783,1,3,4,22.1931640625,44.18549080324809,1002.9098460175154
1631747199.5867288,1,3,4,22.1828125,44.12631271617637,1002.8695528031893
1631747200.7139127,1,3,4,22.177734375,44.144012764396585,1002.8964096631908
1631747201.8409603,1,3,4,22.1828125,44.08496534166594,1002.8678665813987
1631747202.9681146,1,3,4,22.187890625,44.244536132421786,1002.8661919294177
1631747204.094777,1,3,4,22.167578125,44.15580246619606,1002.877933664108
1631747205.22135,1,3,4,22.1625,44.2267347409973,1002.8695410998653
1631747206.3481152,1,3,4,22.1625,44.14989137663324,1002.8745766382026
1631747207.4760509,1,3,4,22.17265625,44.16762461455428,1002.8776065310948
1631747208.6029818,1,3,4,22.167578125,44.327185010583044,1002.8628310033765
1631747209.7298408,1,3,4,22.167578125,44.126246915823955,1002.8812947925163
1631747210.8567278,1,2,3,22.1625,44.14985881079438,1002.8910345251835
1631747211.9835544,1,2,3,22.167578125,44.2620987457561,1002.8557819359231
1631747213.1108508,1,2,3,22.1625,44.191169640375264,1002.8675355384474
1631747214.2376373,1,2,3,22.1572265625,44.17938090418247,1002.8826376979908
1631747215.3643267,1,2,3,22.1572265625,44.155704533909535,1002.8960655856968
1631747216.4919236,1,2,3,22.1625,44.2857414527199,1002.8977395134865
1631747217.6209602,1,2,3,22.167578125,44.368454538452866,1002.8490638313837
1631747218.748074,1,2,3,22.1521484375,44.28570730155557,1002.8591346573681
1631747219.8747988,1,2,3,22.1521484375,44.214711501502144,1002.8487231474544
1631747221.0016623,1,2,3,22.1419921875,44.250174761582514,1002.8708795085669
1631747222.1285934,1,2,3,22.1419921875,44.33886741497174,1002.8742364250782
1631747223.2555242,1,2,3,22.1470703125,44.21474614717456,1002.8759102874159
1631747224.3821821,1,2,3,22.1470703125,44.409719261880014,1002.8725579667877
1631747225.5088356,1,2,3,22.1419921875,44.24426424387175,1002.8775933418673
1631747226.6360147,1,2,3,22.1521484375,44.191036019711035,1002.8775933418673
1631747227.7633383,1,2,3,22.1521484375,44.2915836557183,1002.8691965084187
1631747228.890334,1,2,3,22.1419921875,44.3329209328227,1002.8742318425625
1631747230.0179296,1,2,3,22.1521484375,44.34477783873259,1002.8641611749003
1631747231.1446598,1,2,3,22.1419921875,44.29151384715654,1002.8524075523004
1631747232.2714038,1,2,3,22.1572265625,44.24423053280221,1002.8507336219095
1631747233.399158,1,2,3,22.1419921875,44.23838864207903,1002.8641700712985
1631747234.525946,1,2,3,22.1419921875,44.20873429973349,1002.8423457294455
1631747235.6528971,1,2,3,22.1470703125,44.173404265152314,1002.8406629600853
1631747236.7798164,1,2,3,22.1419921875,44.16746066514341,1002.8507336219095
1631747237.9064066,1,2,3,22.1470703125,44.250174761582514,1002.8507380153376
1631747239.0330753,1,2,3,22.1521484375,44.220656786282625,1002.8322707438097
1631747240.1599402,1,2,3,22.1521484375,44.137906905598484,1002.8775933418673
1631747241.2869446,1,2,3,22.1521484375,44.3684194312297,1002.8775933418673
1631747242.4146748,1,2,3,22.1470703125,44.267941529980476,1002.8708839575123
1631747243.5410092,1,2,3,22.1521484375,44.30934957433779,1002.8843071762797
1631747244.667953,1,2,3,22.1369140625,44.16746066514341,1002.8725624292395
1631747245.7947614,1,2,3,22.1419921875,44.26196185259121,1002.8540859827443
1631747246.9215925,1,2,3,22.1369140625,44.29738988577813,1002.8587839753064
1631747248.0483716,1,2,3,22.1419921875,44.244163078486395,1002.8759102874159
1631747249.1750445,1,2,3,22.1419921875,44.30927937469894,1002.8675134287971
1631747250.3019426,1,2,3,22.1369140625,44.21464474391389,1002.8621504795269
1631747251.4298055,1,2,3,22.1419921875,44.167426580482726,1002.842341403549
1631747252.5569766,1,2,3,22.1419921875,44.25608526903889,1002.8708702910053
1631747253.683796,1,2,3,22.1369140625,44.31508618330317,1002.8910162942254
1631747254.8109014,1,3,4,22.1267578125,44.16141759003002,1002.8201810320666
1631747255.937809,1,3,4,22.1267578125,44.26783828011117,1002.8571152294785
1631747257.0644631,1,3,4,22.1419921875,44.26196185259121,1002.8789297066786
1631747258.1911805,1,3,4,22.1318359375,44.15544164973947,1002.8520704173197
1631747259.3203838,1,3,4,22.1267578125,44.1849588542794,1002.8990705593912
1631747260.447788,1,3,4,22.1318359375,44.33288620887363,1002.9007540840098
1631747261.5740502,1,3,4,22.1267578125,44.244129335240125,1002.8554171532325
1631747262.700325,1,3,4,22.121484375,44.19677926899017,1002.8621306037259
1631747263.827231,1,3,4,22.11640625,44.18502629526961,1002.8654975344051
1631747264.9539926,1,3,4,22.121484375,44.29134111024865,1002.8520604284025
1631747266.080963,1,3,4,22.11640625,44.309106998179914,1002.8335984468071
1631747267.207797,1,3,4,22.11640625,44.16135198361388,1002.8302316598649
1631747268.3345203,1,3,4,22.09609375,44.22041997537606,1002.8537438520189
1631747269.4619408,1,3,4,22.111328125,44.214509814159044,1002.8403068339601
1631747270.5887914,1,3,4,22.111328125,44.1612193783393,1002.8486933427979
1631747271.7155337,1,3,4,22.09609375,44.2677008960053,1002.821839988584
1631747272.842665,1,2,3,22.09609375,44.243959158031075,1002.8570903209635
1631747273.9694567,1,2,3,22.09609375,44.22041997537606,1002.8537283486935
1631747275.0970967,1,2,3,22.09609375,44.279486842639855,1002.8403016676951
1631747276.2239392,1,2,3,22.09609375,44.26756464788625,1002.8483595925103
1631747277.3509347,1,2,3,22.10625,44.255812894862295,1002.8399680551319
1631747278.4778302,1,2,3,22.0908203125,44.326662174912705,1002.8617916123397
1631747279.6045437,1,2,3,22.0908203125,44.226195768971856,1002.8587633552144
1631747280.7313392,1,2,3,22.0857421875,44.42125191944636,1002.8466867197524
1631747281.8583505,1,2,3,22.0908203125,44.308967575245156,1002.8550728236635
1631747282.9852417,1,2,3,22.0908203125,44.33260669211866,1002.853394515771
1631747284.1121101,1,2,3,22.0908203125,44.373904154114925,1002.8466757435091
1631747285.239077,1,2,3,22.0857421875,44.237981748710986,1002.8600963423621
1631747286.3679404,1,2,3,22.0806640625,44.26753055904271,1002.8819199343817
1631747287.496254,1,2,3,22.0755859375,44.4329991605701,1002.8517049376117
1631747288.6232097,1,2,3,22.0806640625,44.291169422775745,1002.8265307337834
1631747289.750917,1,2,3,22.0857421875,44.167063558231526,1002.8466812848955
1631747290.8778749,1,2,3,22.0908203125,44.373904154114925,1002.8584180612728
1631747292.0045457,1,2,3,22.0806640625,44.21437599701375,1002.8382786936245
1631747293.1313734,1,2,3,22.0908203125,44.35023081957339,1002.8500208754199
1631747294.2580752,1,2,3,22.0755859375,44.30295428841105,1002.8315542010066
1631747295.3852856,1,2,3,22.0755859375,44.302988793131476,1002.8600963423621
1631747296.5116842,1,2,3,22.0755859375,44.36204984984835,1002.8416408616004
1631747297.638564,1,2,3,22.0806640625,44.18472564937126,1002.8550556773354
1631747298.7656646,1,2,3,22.0654296875,44.20245483015929,1002.8433135345986
1631747299.892491,1,2,3,22.0806640625,44.34432128905856,1002.8533832184228
1631747301.0192833,1,2,3,22.0806640625,44.27921169041022,1002.8550556773354
1631747302.1459959,1,2,3,22.0806640625,44.19654511348127,1002.8533774099607
1631747303.2727175,1,2,3,22.0806640625,44.14335720206969,1002.8567397802534
1631747304.4002156,1,2,3,22.0705078125,44.373904154114925,1002.8600963423621
1631747305.5270162,1,2,3,22.0755859375,44.23203826148001,1002.8483426082537
1631747306.6538196,1,2,3,22.0806640625,44.33837548438975,1002.8785453103019
1631747307.7802792,1,2,3,22.0755859375,44.39746972954403,1002.8580772210242
1631747308.907136,1,2,3,22.0705078125,44.36197810365033,1002.8550497488451
1631747310.035307,1,2,3,22.06015625,44.43292578457327,1002.8798943469426
1631747311.162089,1,2,3,22.06015625,44.27921169041022,1002.8563989810553
1631747312.2887447,1,2,3,22.06015625,44.31452803320028,1002.8563865614778
1631747313.4164355,1,2,3,22.06015625,44.28508678305899,1002.8597492775192
1631747314.5431473,1,2,3,22.06015625,44.33816438734647,1002.8664558402629
1631747315.6699412,1,2,3,22.055078125,44.24372097371036,1002.8731686941757
1631747316.7967727,1,2,3,22.06015625,44.267290322612325,1002.8496673948104
1631747317.9234931,1,2,3,22.05,44.22599261594456,1002.846310996672
1631747319.0501814,1,2,3,22.055078125,44.290927285245296,1002.8765315466652
1631747320.1770327,1,2,3,22.05,44.30270979462777,1002.8647711898718
1631747321.3037565,1,2,3,22.055078125,44.22599261594456,1002.8563928245238
1631747322.4308786,1,2,3,22.055078125,44.38547349575369,1002.8496673948104
1631747323.5578322,1,2,3,22.06015625,44.31452803320028,1002.8530301357721
1631747324.6848054,1,2,3,22.05,44.35001897431744,1002.846310996672
1631747325.8117888,1,2,3,22.05,44.33827065703434,1002.8496673948104
1631747326.9391623,1,2,3,22.05,44.373655362942195,1002.8614212005576
1631747328.0658798,1,2,3,22.05,44.31452803320028,1002.861414790483
1631747329.1926882,1,2,3,22.05,44.43861706285999,1002.8479827871695
1631747330.3198328,1,2,3,22.06015625,44.326486908258005,1002.83791367504
1631747331.448393,1,2,3,22.05,44.32645209012747,1002.8563865614778
1631747332.5760567,1,2,3,22.055078125,44.444525951523424,1002.9302279973168
1631747333.7029102,1,2,3,22.05,44.43872682026834,1002.8815662287639
1631747334.8296878,1,2,3,22.06015625,44.38547349575369,1002.8597492775192
1631747335.957877,1,2,3,22.05,44.37967074414673,1002.884916191198
1631747337.0847316,1,2,3,22.06015625,44.503763132202586,1002.8312133754583
1631747338.2116163,1,2,3,22.0705078125,44.44470824046844,1002.8983485069422
1631747339.3407278,1,2,3,22.0755859375,44.42103537579034,1002.8480077822531
1631747340.4686294,1,2,3,22.06015625,44.409216960860704,1002.8919713515343
1631747341.5954978,1,2,3,22.0705078125,44.40918119742388,1002.866468421911
1631747342.7224522,1,2,3,22.0705078125,44.42103537579034,1002.874853319438
1631747343.849582,1,2,3,22.06015625,44.37376147005138,1002.8513581455517
1631747344.9779806,1,2,3,22.0705078125,44.409216960860704,1002.8362541123871
1631747346.1047568,1,2,3,22.0806640625,44.385615490620054,1002.8483367337874
1631747347.2314315,1,3,4,22.055078125,44.39156035115954,1002.8899637936343
Time,PM_1,PM_2_5,PM_10,Temperature,Humidity,Pressure
1631747693.0816078,7168,256,512,24.875,35.04885491621889,1001.9440023974888
1631747694.2089627,7168,256,512,24.8291015625,34.73934436643875,1001.920560587312
1631747695.336438,7168,256,512,24.813671875,34.42968749669232,1001.9123109770429
1631747696.4632962,7168,256,512,24.7830078125,34.03040914925946,1001.9222788533754
1631747697.5900898,7168,256,512,24.7677734375,33.74451990028168,1001.9020833132213
1631747698.7176902,7168,256,512,24.737109375,33.9536026624966,1001.9189620531525
1631747699.845199,7168,256,512,24.726953125,33.798741186374684,1001.9072226173178
1631747700.9721549,7168,256,512,24.7115234375,33.64406832717264,1001.9175059777845
1631747702.0989628,7168,256,512,24.680859375,33.96677925433974,1001.9140978441502
1631747703.2262917,7168,256,512,24.665625,34.06225892246629,1001.9257410175871
1631747704.3534353,7168,256,512,24.6400390625,34.15212189172385,1001.9209095673591
1631747705.480201,7168,256,512,24.61953125,34.27194644882624,1001.9041807235142
1631747706.6071432,7168,256,512,24.604296875,34.40332951263606,1001.9073932499225
1631747707.7342896,7168,256,512,24.594140625,34.57013027302042,1001.9107630813185
